mar 9/13:19:52.697 DEBUG2 : 		STLinkOpen
mar 9/13:19:52.737 DEBUG2 : 		ReadTarget32 Address=0xE0002FDC AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.737 DEBUG2 : 		ReadTarget32 Address=0xE0002FE0 AP=0 Count=4 Data=0x00000003
mar 9/13:19:52.738 DEBUG2 : 		ReadTarget32 Address=0xE0002FE4 AP=0 Count=4 Data=0x000000B0
mar 9/13:19:52.738 DEBUG2 : 		ReadTarget32 Address=0xE0002FE8 AP=0 Count=4 Data=0x0000002B
mar 9/13:19:52.738 DEBUG2 : 		ReadTarget32 Address=0xE0002FEC AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.739 DEBUG2 : 		ReadTarget32 Address=0xE0002FF0 AP=0 Count=4 Data=0x0000000D
mar 9/13:19:52.739 DEBUG2 : 		ReadTarget32 Address=0xE0002FF4 AP=0 Count=4 Data=0x000000E0
mar 9/13:19:52.739 DEBUG2 : 		ReadTarget32 Address=0xE0002FF8 AP=0 Count=4 Data=0x00000005
mar 9/13:19:52.740 DEBUG2 : 		ReadTarget32 Address=0xE0002FFC AP=0 Count=4 Data=0x000000B1
mar 9/13:19:52.740 DEBUG2 : 		ReadTarget32 Address=0xE0000FD0 AP=0 Count=4 Data=0x00000001
mar 9/13:19:52.740 DEBUG2 : 		ReadTarget32 Address=0xE0000FD4 AP=0 Count=4 Data=0x00000001
mar 9/13:19:52.741 DEBUG2 : 		ReadTarget32 Address=0xE0000FD8 AP=0 Count=4 Data=0x00000001
mar 9/13:19:52.741 DEBUG2 : 		ReadTarget32 Address=0xE0000FDC AP=0 Count=4 Data=0x00000001
mar 9/13:19:52.742 DEBUG2 : 		ReadTarget32 Address=0xE0000FE0 AP=0 Count=4 Data=0x00000001
mar 9/13:19:52.743 DEBUG2 : 		ReadTarget32 Address=0xE0000FE4 AP=0 Count=4 Data=0x00000001
mar 9/13:19:52.743 DEBUG2 : 		ReadTarget32 Address=0xE0000FE8 AP=0 Count=4 Data=0x00000001
mar 9/13:19:52.743 DEBUG2 : 		ReadTarget32 Address=0xE0000FEC AP=0 Count=4 Data=0x00000001
mar 9/13:19:52.743 DEBUG2 : 		ReadTarget32 Address=0xE0000FF0 AP=0 Count=4 Data=0x00000001
mar 9/13:19:52.744 DEBUG2 : 		ReadTarget32 Address=0xE0000FF4 AP=0 Count=4 Data=0x00000001
mar 9/13:19:52.744 DEBUG2 : 		ReadTarget32 Address=0xE0000FF8 AP=0 Count=4 Data=0x00000001
mar 9/13:19:52.744 DEBUG2 : 		ReadTarget32 Address=0xE0000FFC AP=0 Count=4 Data=0x00000001
mar 9/13:19:52.745 DEBUG2 : 		ReadTarget32 Address=0xE0040FD0 AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.745 DEBUG2 : 		ReadTarget32 Address=0xE0040FD4 AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.746 DEBUG2 : 		ReadTarget32 Address=0xE0040FD8 AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.746 DEBUG2 : 		ReadTarget32 Address=0xE0040FDC AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.747 DEBUG2 : 		ReadTarget32 Address=0xE0040FE0 AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.747 DEBUG2 : 		ReadTarget32 Address=0xE0040FE4 AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.747 DEBUG2 : 		ReadTarget32 Address=0xE0040FE8 AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.748 DEBUG2 : 		ReadTarget32 Address=0xE0040FEC AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.749 DEBUG2 : 		ReadTarget32 Address=0xE0040FF0 AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.749 DEBUG2 : 		ReadTarget32 Address=0xE0040FF4 AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.749 DEBUG2 : 		ReadTarget32 Address=0xE0040FF8 AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.751 DEBUG2 : 		ReadTarget32 Address=0xE0040FFC AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.751 DEBUG2 : 		ReadTarget32 Address=0xE0041FD0 AP=0 Count=4 Data=0x00000004
mar 9/13:19:52.751 DEBUG2 : 		ReadTarget32 Address=0xE0041FD4 AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.752 DEBUG2 : 		ReadTarget32 Address=0xE0041FD8 AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.752 DEBUG2 : 		ReadTarget32 Address=0xE0041FDC AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.753 DEBUG2 : 		ReadTarget32 Address=0xE0041FE0 AP=0 Count=4 Data=0x00000025
mar 9/13:19:52.754 DEBUG2 : 		ReadTarget32 Address=0xE0041FE4 AP=0 Count=4 Data=0x000000B9
mar 9/13:19:52.754 DEBUG2 : 		ReadTarget32 Address=0xE0041FE8 AP=0 Count=4 Data=0x0000000B
mar 9/13:19:52.755 DEBUG2 : 		ReadTarget32 Address=0xE0041FEC AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.755 DEBUG2 : 		ReadTarget32 Address=0xE0041FF0 AP=0 Count=4 Data=0x0000000D
mar 9/13:19:52.756 DEBUG2 : 		ReadTarget32 Address=0xE0041FF4 AP=0 Count=4 Data=0x00000090
mar 9/13:19:52.756 DEBUG2 : 		ReadTarget32 Address=0xE0041FF8 AP=0 Count=4 Data=0x00000005
mar 9/13:19:52.756 DEBUG2 : 		ReadTarget32 Address=0xE0041FFC AP=0 Count=4 Data=0x000000B1
mar 9/13:19:52.758 DEBUG2 : 		ReadTarget32 Address=0xE0001004 AP=0 Count=4 Data=0xC5A1242F
mar 9/13:19:52.777 DEBUG2 : 		ReadTarget32 Address=0xE0042008 AP=0 Count=4 Data=0x00001800
mar 9/13:19:52.777 DEBUG2 : 		ReadTarget32 Address=0x40023C14 AP=0 Count=4 Data=0x0FFFAAED
mar 9/13:19:52.779 DEBUG2 : 		ReadTarget32 Address=0x4002380C AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.780 DEBUG2 : 		ReadTarget32 Address=0x40023808 AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.781 DEBUG2 : 		ReadTarget32 Address=0x40023800 AP=0 Count=4 Data=0x00007583
mar 9/13:19:52.781 DEBUG2 : 		WriteTarget32 Address=0x4002380C AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.781 DEBUG2 : 		WriteTarget32 Address=0x40023808 AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.782 DEBUG2 : 		WriteTarget32 Address=0x40023800 AP=0 Count=4 Data=0x00010083
mar 9/13:19:52.783 DEBUG2 : 		ReadTarget32 Address=0x40023C14 AP=0 Count=4 Data=0x0FFFAAED
mar 9/13:19:52.825 DEBUG2 : 		WriteTarget32 Address=0x20000000 AP=0 Count=32 Data=0x20020000 ...
mar 9/13:19:52.826 DEBUG2 : 		WriteTarget32 Address=0x20000040 AP=0 Count=960 Data=0x4C1EB51C ...
mar 9/13:19:52.844 DEBUG2 : 		ReadTarget32 Address=0x20000000 AP=0 Count=4 Data=0x20020000
mar 9/13:19:52.845 DEBUG2 : 		ReadTarget32 Address=0x20000004 AP=0 Count=4 Data=0x20000395
mar 9/13:19:52.845 DEBUG2 : 		ReadReg Index=0x0F
mar 9/13:19:52.852 DEBUG2 : 		STLinkWriteReg Index=0x0F Data=0x20000394
mar 9/13:19:52.852 DEBUG2 : 		ReadReg Index=0x11
mar 9/13:19:52.859 DEBUG2 : 		ReadReg Index=0x12
mar 9/13:19:52.859 DEBUG2 : 		ReadReg Index=0x14
mar 9/13:19:52.860 DEBUG2 : 		STLinkWriteReg Index=0x11 Data=0x20020000
mar 9/13:19:52.861 DEBUG2 : 		ReadReg Index=0x00
mar 9/13:19:52.868 DEBUG2 : 		ReadReg Index=0x01
mar 9/13:19:52.868 DEBUG2 : 		ReadReg Index=0x02
mar 9/13:19:52.868 DEBUG2 : 		ReadReg Index=0x03
mar 9/13:19:52.868 DEBUG2 : 		ReadReg Index=0x04
mar 9/13:19:52.868 DEBUG2 : 		ReadReg Index=0x05
mar 9/13:19:52.868 DEBUG2 : 		ReadReg Index=0x06
mar 9/13:19:52.868 DEBUG2 : 		ReadReg Index=0x07
mar 9/13:19:52.868 DEBUG2 : 		ReadReg Index=0x08
mar 9/13:19:52.868 DEBUG2 : 		ReadReg Index=0x09
mar 9/13:19:52.868 DEBUG2 : 		ReadReg Index=0x0A
mar 9/13:19:52.868 DEBUG2 : 		ReadReg Index=0x0B
mar 9/13:19:52.868 DEBUG2 : 		ReadReg Index=0x0C
mar 9/13:19:52.868 DEBUG2 : 		ReadReg Index=0x11
mar 9/13:19:52.868 DEBUG2 : 		ReadReg Index=0x12
mar 9/13:19:52.868 DEBUG2 : 		ReadReg Index=0x0E
mar 9/13:19:52.868 DEBUG2 : 		ReadReg Index=0x0F
mar 9/13:19:52.868 DEBUG2 : 		ReadReg Index=0x10
mar 9/13:19:52.868 DEBUG2 : 		ReadReg Index=0x14
mar 9/13:19:52.868 DEBUG2 : 		STLinkWriteReg Index=0x10 Data=0x01000000
mar 9/13:19:52.870 DEBUG2 : 		ReadTarget32 Address=0xE000EDFC AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.870 DEBUG2 : 		WriteTarget32 Address=0xE000EDFC AP=0 Count=4 Data=0x01000000
mar 9/13:19:52.870 DEBUG2 : 		ReadTarget32 Address=0xE0001004 AP=0 Count=4 Data=0xC5A1242F
mar 9/13:19:52.871 DEBUG2 : 		ReadTarget32 Address=0xE0001004 AP=0 Count=4 Data=0xC5A1242F
mar 9/13:19:52.873 DEBUG2 : 		ReadReg Index=0x0F
mar 9/13:19:52.880 DEBUG2 : 		WriteTarget32 Address=0x2001EF98 AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.880 DEBUG2 : 		WriteTarget32 Address=0x2001EF84 AP=0 Count=20 Data=0x08000000 ...
mar 9/13:19:52.882 DEBUG2 : 		STLinkWriteReg Index=0x0F Data=0x20000394
mar 9/13:19:52.883 DEBUG2 : 		ReadReg Index=0x00
mar 9/13:19:52.889 DEBUG2 : 		ReadReg Index=0x01
mar 9/13:19:52.889 DEBUG2 : 		ReadReg Index=0x02
